Serial number,Time,Status,vpv1,vpv2,vpv3,vBat,SOC,ppv1,ppv2,ppv3,pCharge,pDisCharge,vacr,vacs,vact,fac,pinv,prec,pf,vepsr,vepss,vepst,feps,peps,seps,pToGrid,pToUser,pLoad,ePv1Day,ePv2Day,ePv3Day,eInvDay,eRecDay,eChgDay,eDisChgDay,eEpsDay,eToGridDay,eToUserDay,ePv1All,ePv2All,ePv3All,eInvAll,eRecAll,eChgAll,eDisChgAll,eEpsAll,eToGridAll,eToUserAll,faultCode,warningCode,tinner,tradiator1,tradiator2,tradiator3,tBat,vBus1,vBus2,maxChgCurr,maxDischgCurr,chargeVoltRef,dischgCutVolt,batStatus0,batStatus1,batStatus2,batStatus3,batStatus4,batStatus5,batStatus6,batStatus7,batStatus8,batStatus9,batStatusInv,internalFault,BatCurrent,BMSEvent1,BMSEvent2,MaxCellVoltage,MinCellVoltage,MaxCellTemp,MinCellTemp,CycleCnt,Batt Internal Volt,Vbat_Inv,vBusP,genVolt,genFreq,genPower,eGenDay,eGenAll,SOH,epsVoltL1N,epsVoltL2N,pEpsL1N,pEpsL2N,sEpsL1N,sEpsL2N,eEpsL1NDay,eEpsL2NDay,eEpsL1NAll,eEpsL2NAll,Debug140,Debug141,Debug142,Debug143,Debug144,Debug145,Debug146,Debug147,Debug148,Debug149,Debug150,Debug151,Debug152,Sum_vBUS
1233022323,2025-03-19 00:16:39,Battery Grid on,0.0,0.0,305.8,42.2,19%,0,0,0,0,0,230.3,0,0,50.06,0,49,[0],231.5,2.0,3193.7,50.04,0,0,0,209,160,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.1,1577.7,1598.5,0,2071.2,130.4,2104.4,1590.9,46,465.9,1714.7,0x0,0x4000000,35,29,41,0,34,305.6,301.3,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1A5,0,0,0,0,4099,0.0,42.2,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,606.9000000000001
1233022323,2025-03-19 00:22:38,Battery Grid on,0.0,0.0,304.9,42.0,18%,0,0,0,0,0,230.9,0,0,50.08,0,55,[0],232.1,2.0,3193.7,50.1,0,0,0,215,160,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.1,1577.7,1598.5,0,2071.2,130.4,2104.4,1590.9,46,465.9,1714.7,0x0,0x4000000,34,31,44,0,34,306.9,299.5,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1A4,0,0,0,0,4099,0.0,42.0,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,606.4
1233022323,2025-03-19 00:28:39,Battery Grid on,0.0,0.0,306.3,41.6,15%,0,0,0,0,0,229.9,0,0,49.99,0,65,[0],231.1,2.0,3193.7,49.99,0,0,0,224,159,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.1,1577.7,1598.5,0,2071.2,130.4,2104.4,1590.9,46,465.9,1714.7,0x0,0x4000000,35,32,45,0,34,304.9,296.9,10,217,52,30,0x22,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1A0,0,0,0,0,4099,0.0,41.7,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,601.8
1233022323,2025-03-19 00:34:39,Battery Grid on,0.0,0.0,304.1,42.6,15%,0,0,0,0,0,229.9,0,0,49.93,0,53,[0],231.2,2.0,3193.7,49.92,0,0,0,213,160,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.1,1577.7,1598.5,0,2071.2,130.4,2104.4,1590.9,46,465.9,1714.7,0x0,0x4000000,36,29,37,0,35,304.9,303.4,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1A9,0,0,0,0,4099,0.0,42.6,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,608.3
1233022323,2025-03-19 00:40:39,Battery Grid on,0.0,0.0,304.1,42.5,15%,0,0,0,0,0,231.0,0,0,50.11,0,55,[0],232.1,2.0,3193.7,50.12,0,0,0,215,160,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.2,1577.7,1598.5,0,2071.2,130.4,2104.4,1590.9,46,465.9,1714.8,0x0,0x4000000,35,29,40,0,34,305.9,302.9,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1A8,0,0,0,0,4099,0.0,42.5,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,608.8
1233022323,2025-03-19 00:46:38,Battery Grid on,0.0,0.0,305.6,42.4,15%,0,0,0,0,0,230.5,0,0,50.17,0,55,[0],232.0,2.0,3193.7,50.18,0,0,0,215,160,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.2,1577.7,1598.5,0,2071.2,130.4,2104.4,1590.9,46,465.9,1714.8,0x0,0x4000000,34,30,44,0,34,306.3,302.5,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1A8,0,0,0,0,4099,0.0,42.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,608.8
1233022323,2025-03-19 00:58:40,Battery Grid on,0.0,0.0,305.4,42.8,15%,0,0,0,0,0,231.7,0,0,50.23,0,59,[0],232.5,2.0,3193.7,50.19,0,0,0,220,161,0.0,0.0,0,0.0,0,0.0,0.1,0,0.0,0.2,1577.7,1598.5,0,2071.2,130.4,2104.4,1591.0,46,465.9,1714.8,0x0,0x4000000,36,29,36,0,35,305.9,305.0,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1AE,0,0,0,0,4099,0.0,43.0,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,610.9
1233022323,2025-03-19 01:04:38,Battery Grid on,0.0,0.0,303.4,42.6,15%,0,0,0,0,0,230.0,0,0,50.0,0,61,[0],231.0,2.0,3193.7,50.01,0,0,0,222,161,0.0,0.0,0,0.0,0,0.0,0.1,0,0.0,0.2,1577.7,1598.5,0,2071.2,130.4,2104.4,1591.0,46,465.9,1714.8,0x0,0x4000000,35,29,40,0,34,306.6,303.9,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1A8,0,0,0,0,4099,0.0,42.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,610.5
1233022323,2025-03-19 01:10:39,Battery Grid on,0.0,0.0,304.8,41.2,15%,0,0,0,0,0,230.1,0,0,49.93,0,47,[0],231.3,2.0,3193.7,49.93,0,0,0,207,160,0.0,0.0,0,0.0,0,0.0,0.1,0,0.0,0.3,1577.7,1598.5,0,2071.2,130.4,2104.4,1591.0,46,465.9,1714.9,0x0,0x4000000,34,30,43,0,34,307.6,293.7,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x19E,0,0,0,0,4099,0.0,41.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,601.3
1233022323,2025-03-19 01:34:39,Battery Grid on,0.0,0.0,315.4,39.6,9%,0,0,0,0,0,230.5,0,0,50.19,0,37,[0],231.5,2.0,3193.7,50.23,0,0,0,198,161,0.0,0.0,0,0.0,0,0.0,0.1,0,0.0,0.3,1577.7,1598.5,0,2071.2,130.4,2104.4,1591.0,46,465.9,1714.9,0x0,0x4000000,33,32,47,0,33,312.3,282.6,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1231,0xABFF,0x830E,0xF0,0x8D,0x03,0xFA,0,0x00,0x18D,0,0,0,0,4099,0.0,39.7,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,594.9000000000001
1233022323,2025-03-19 01:52:40,Battery Grid on,0.0,0.0,305.1,41.4,9%,0,0,0,0,0,230.8,0,0,50.07,0,61,[0],231.9,2.0,3193.7,50.1,0,0,0,222,161,0.0,0.0,0,0.0,0,0.0,0.1,0,0.0,0.4,1577.7,1598.5,0,2071.2,130.4,2104.4,1591.0,46,465.9,1715.0,0x0,0x4000000,34,31,44,0,34,306.4,295.6,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x19A,0,0,0,0,4099,0.0,41.0,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,602.0
1233022323,2025-03-19 02:04:38,Battery Grid on,0.0,0.0,371.5,40.1,8%,0,0,0,0,0,230.9,0,0,50.01,0,31,[0],231.2,2.0,3193.7,50.03,0,0,0,192,161,0.0,0.0,0,0.0,0,0.0,0.1,0,0.0,0.4,1577.7,1598.5,0,2071.2,130.4,2104.4,1591.0,46,465.9,1715.0,0x0,0x4000000,34,31,45,0,34,365.0,284.6,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1231,0xABFF,0x830E,0xF0,0x8D,0x03,0xFA,0,0x00,0x18E,0,0,0,0,4099,0.0,39.8,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,649.6
1233022323,2025-03-19 02:31:37,Battery Grid on,0.0,0.0,304.2,40.1,8%,0,0,0,0,0,230.4,0,0,49.98,0,39,[0],231.5,2.0,3193.7,49.98,0,0,0,201,162,0.0,0.0,0,0.0,0,0.0,0.1,0,0.0,0.5,1577.7,1598.5,0,2071.2,130.4,2104.4,1591.0,46,465.9,1715.1,0x0,0x4000000,34,31,44,0,34,308.0,285.6,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x8D,0x03,0xDC,0,0x00,0x191,0,0,0,0,4099,0.0,40.1,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,593.6
